TICKER,ISIN,SECTOR
NCC,INE868B01028,Industrials
VEDL,INE205A01025,Commodities
NAHARSPING,INE290A01027,Consumer Discretionary
NAPEROL,INE585A01020,Commodities
GRASIM,INE047A01021,Commodities
PEL,INE140A01024,Financial Services
NIITLTD,INE161A01038,Consumer Discretionary
JAYKAY,INE903A01025,Industrials
NIRLON,INE910A01012,Services
ONGC,INE213A01029,Energy
OILCOUNTUB,INE591A01010,Energy
ORIENTHOT,INE750A01020,Consumer Discretionary
OSWALAGRO,INE142A01012,Services
INDSUCR,INE557C01017,Fast Moving Consumer Goods
PANCM,INE167E01037,Commodities
RELIANCE,INE002A01018,Energy
PILITA,INE600A01035,Consumer Discretionary
RAYMOND,INE301A01014,Consumer Discretionary
PIDILITIND,INE318A01026,Commodities
PIXTRANS,INE751B01018,Industrials
BIRLACORPN,INE340A01012,Commodities
SURYAROSNI,INE335A01020,Industrials
PRIMESECU,INE032B01021,Financial Services
PRSMJOHNSN,INE010A01011,Commodities
RAIN,INE855B01025,Commodities
PRUDMOULI,INE024D01016,Fast Moving Consumer Goods
AMJLAND,INE606A01024,Consumer Discretionary
PUNJCOMMU,INE609A01010,Telecommunication
RSWM,INE611A01016,Consumer Discretionary
RAJSREESUG,INE562B01019,Fast Moving Consumer Goods
RALLIS,INE613A01020,Commodities
RAMANEWS,INE278B01020,Commodities
RAMAPPR-B,INE425E01013,Commodities
RAPICUT,INE350D01015,Industrials
WELSPLSOL,INE731F01037,Industrials
RUBFILA,INE642C01025,Consumer Discretionary
PATANJALI,INE619A01035,Fast Moving Consumer Goods
SALORAINTL,INE924A01013,Services
JINDALSAW,INE324A01024,Industrials
JKLAKSHMI,INE786A01032,Commodities
SHREECEM,INE070A01015,Commodities
SKPMIL,INE970C01012,Commodities
RELINFRA,INE036A01016,Utilities
TATAPOWER,INE245A01021,Utilities
SPMLINFRA,INE937A01023,Industrials
SUNDRMFAST,INE387A01021,Consumer Discretionary
SUNFLAG,INE947A01014,Commodities
SPLPETRO,INE663A01033,Commodities
SWARAJENG,INE277A01016,Industrials
TATAELXSI,INE670A01012,Information Technology
ACC,INE012A01025,Commodities
THERMAX,INE152A01029,Industrials
TIRUMALCHM,INE338A01024,Commodities
THOMASCOOK,INE332A01027,Consumer Discretionary
TIMEX,INE064A01026,Consumer Discretionary
TOKYOPLAST,INE932C01012,Consumer Discretionary
TORNTPHARM,INE685A01028,Healthcare
TPINDIA,INE578C01021,Industrials
TRANSCHEM,INE019B01010,Healthcare
AMBUJACEM,INE079A01024,Commodities
UTLINDS,INE184E01024,Consumer Discretionary
UNIENTER,INE037A01022,Commodities
VHL,INE701A01023,Financial Services
